level_0,level_1,date,symbol,close,dominant_id,exchange,high,low,open,trading_code,trading_date,underlying_symbol,volume
LC2601,47,2025-10-21 14:13:00,LC2601,75940.0,LC2601,GFEX,75940.0,75920.0,75920.0,lc2601,20251021,LC,227.0
LC2601,48,2025-10-21 14:12:00,LC2601,75920.0,LC2601,GFEX,75940.0,75920.0,75940.0,lc2601,20251021,LC,131.0
LC2601,49,2025-10-21 14:11:00,LC2601,75940.0,LC2601,GFEX,75940.0,75900.0,75920.0,lc2601,20251021,LC,315.0
LC2601,50,2025-10-21 14:10:00,LC2601,75900.0,LC2601,GFEX,75920.0,75880.0,75920.0,lc2601,20251021,LC,381.0
LC2601,51,2025-10-21 14:09:00,LC2601,75940.0,LC2601,GFEX,75940.0,75920.0,75940.0,lc2601,20251021,LC,117.0
LC2601,52,2025-10-21 14:08:00,LC2601,75940.0,LC2601,GFEX,75960.0,75920.0,75940.0,lc2601,20251021,LC,193.0
LC2601,53,2025-10-21 14:07:00,LC2601,75940.0,LC2601,GFEX,75980.0,75940.0,75980.0,lc2601,20251021,LC,489.0
LC2601,54,2025-10-21 14:06:00,LC2601,76000.0,LC2601,GFEX,76000.0,75940.0,75940.0,lc2601,20251021,LC,640.0
LC2601,55,2025-10-21 14:05:00,LC2601,75940.0,LC2601,GFEX,75980.0,75920.0,75940.0,lc2601,20251021,LC,515.0
LC2601,56,2025-10-21 14:04:00,LC2601,75960.0,LC2601,GFEX,76000.0,75920.0,76000.0,lc2601,20251021,LC,405.0
LC2601,57,2025-10-21 14:03:00,LC2601,76000.0,LC2601,GFEX,76020.0,75960.0,76020.0,lc2601,20251021,LC,922.0
LC2601,58,2025-10-21 14:02:00,LC2601,76000.0,LC2601,GFEX,76040.0,75980.0,76020.0,lc2601,20251021,LC,492.0
LC2601,59,2025-10-21 14:01:00,LC2601,76020.0,LC2601,GFEX,76040.0,75980.0,76000.0,lc2601,20251021,LC,331.0
LC2601,60,2025-10-21 14:00:00,LC2601,76000.0,LC2601,GFEX,76060.0,75960.0,76040.0,lc2601,20251021,LC,672.0
LC2601,61,2025-10-21 13:59:00,LC2601,76040.0,LC2601,GFEX,76100.0,76000.0,76060.0,lc2601,20251021,LC,1063.0
LC2601,62,2025-10-21 13:58:00,LC2601,76040.0,LC2601,GFEX,76060.0,75920.0,75940.0,lc2601,20251021,LC,1871.0
LC2601,63,2025-10-21 13:57:00,LC2601,75920.0,LC2601,GFEX,75940.0,75860.0,75900.0,lc2601,20251021,LC,448.0
LC2601,64,2025-10-21 13:56:00,LC2601,75880.0,LC2601,GFEX,75900.0,75880.0,75880.0,lc2601,20251021,LC,163.0
LC2601,65,2025-10-21 13:55:00,LC2601,75880.0,LC2601,GFEX,75900.0,75860.0,75900.0,lc2601,20251021,LC,230.0
LC2601,66,2025-10-21 13:54:00,LC2601,75920.0,LC2601,GFEX,75920.0,75860.0,75880.0,lc2601,20251021,LC,460.0
LC2601,67,2025-10-21 13:53:00,LC2601,75880.0,LC2601,GFEX,75900.0,75840.0,75860.0,lc2601,20251021,LC,297.0
LC2601,68,2025-10-21 13:52:00,LC2601,75880.0,LC2601,GFEX,75900.0,75840.0,75880.0,lc2601,20251021,LC,501.0
LC2601,69,2025-10-21 13:51:00,LC2601,75880.0,LC2601,GFEX,75900.0,75840.0,75860.0,lc2601,20251021,LC,251.0
LC2601,70,2025-10-21 13:50:00,LC2601,75880.0,LC2601,GFEX,75900.0,75840.0,75840.0,lc2601,20251021,LC,375.0
LC2601,71,2025-10-21 13:49:00,LC2601,75840.0,LC2601,GFEX,75900.0,75820.0,75880.0,lc2601,20251021,LC,701.0
LC2601,72,2025-10-21 13:48:00,LC2601,75900.0,LC2601,GFEX,75960.0,75880.0,75960.0,lc2601,20251021,LC,878.0
LC2601,73,2025-10-21 13:47:00,LC2601,75960.0,LC2601,GFEX,75960.0,75940.0,75940.0,lc2601,20251021,LC,278.0
LC2601,74,2025-10-21 13:46:00,LC2601,75960.0,LC2601,GFEX,75960.0,75920.0,75920.0,lc2601,20251021,LC,280.0
LC2601,75,2025-10-21 13:45:00,LC2601,75940.0,LC2601,GFEX,75940.0,75900.0,75940.0,lc2601,20251021,LC,572.0
LC2601,76,2025-10-21 13:44:00,LC2601,75960.0,LC2601,GFEX,75980.0,75940.0,75960.0,lc2601,20251021,LC,493.0
LC2601,77,2025-10-21 13:43:00,LC2601,75980.0,LC2601,GFEX,76020.0,75900.0,75920.0,lc2601,20251021,LC,776.0
LC2601,78,2025-10-21 13:42:00,LC2601,75920.0,LC2601,GFEX,75960.0,75880.0,75900.0,lc2601,20251021,LC,568.0
LC2601,79,2025-10-21 13:41:00,LC2601,75900.0,LC2601,GFEX,75900.0,75820.0,75840.0,lc2601,20251021,LC,532.0
LC2601,80,2025-10-21 13:40:00,LC2601,75840.0,LC2601,GFEX,75860.0,75800.0,75800.0,lc2601,20251021,LC,351.0
LC2601,81,2025-10-21 13:39:00,LC2601,75800.0,LC2601,GFEX,75820.0,75760.0,75800.0,lc2601,20251021,LC,470.0
LC2601,82,2025-10-21 13:38:00,LC2601,75800.0,LC2601,GFEX,75820.0,75760.0,75780.0,lc2601,20251021,LC,739.0
LC2601,83,2025-10-21 13:37:00,LC2601,75780.0,LC2601,GFEX,75820.0,75740.0,75780.0,lc2601,20251021,LC,1056.0
LC2601,84,2025-10-21 13:36:00,LC2601,75800.0,LC2601,GFEX,75900.0,75760.0,75880.0,lc2601,20251021,LC,1992.0
LC2601,85,2025-10-21 13:35:00,LC2601,75880.0,LC2601,GFEX,75940.0,75880.0,75900.0,lc2601,20251021,LC,323.0
LC2601,86,2025-10-21 13:34:00,LC2601,75900.0,LC2601,GFEX,75960.0,75880.0,75880.0,lc2601,20251021,LC,475.0
LC2601,87,2025-10-21 13:33:00,LC2601,75900.0,LC2601,GFEX,75960.0,75860.0,75920.0,lc2601,20251021,LC,844.0
LC2601,88,2025-10-21 13:32:00,LC2601,75920.0,LC2601,GFEX,76000.0,75920.0,75980.0,lc2601,20251021,LC,862.0
LC2601,89,2025-10-21 13:31:00,LC2601,76000.0,LC2601,GFEX,76040.0,75960.0,76020.0,lc2601,20251021,LC,1261.0
LC2601,90,2025-10-21 11:30:00,LC2601,76060.0,LC2601,GFEX,76080.0,76020.0,76080.0,lc2601,20251021,LC,663.0
LC2601,91,2025-10-21 11:29:00,LC2601,76060.0,LC2601,GFEX,76180.0,76060.0,76180.0,lc2601,20251021,LC,1239.0
LC2601,92,2025-10-21 11:28:00,LC2601,76180.0,LC2601,GFEX,76200.0,76080.0,76080.0,lc2601,20251021,LC,1865.0
LC2601,93,2025-10-21 11:27:00,LC2601,76080.0,LC2601,GFEX,76100.0,75940.0,75940.0,lc2601,20251021,LC,1554.0
LC2601,94,2025-10-21 11:26:00,LC2601,75940.0,LC2601,GFEX,75960.0,75900.0,75960.0,lc2601,20251021,LC,520.0
LC2601,95,2025-10-21 11:25:00,LC2601,75960.0,LC2601,GFEX,76040.0,75960.0,76040.0,lc2601,20251021,LC,353.0
LC2601,96,2025-10-21 11:24:00,LC2601,76040.0,LC2601,GFEX,76040.0,76000.0,76000.0,lc2601,20251021,LC,453.0
LC2601,97,2025-10-21 11:23:00,LC2601,75980.0,LC2601,GFEX,76020.0,75980.0,75980.0,lc2601,20251021,LC,427.0
LC2601,98,2025-10-21 11:22:00,LC2601,76000.0,LC2601,GFEX,76000.0,75960.0,75980.0,lc2601,20251021,LC,115.0
LC2601,99,2025-10-21 11:21:00,LC2601,75960.0,LC2601,GFEX,76020.0,75960.0,76020.0,lc2601,20251021,LC,298.0
LC2601,100,2025-10-21 11:20:00,LC2601,76020.0,LC2601,GFEX,76060.0,75980.0,76060.0,lc2601,20251021,LC,598.0
LC2601,101,2025-10-21 11:19:00,LC2601,76060.0,LC2601,GFEX,76080.0,75940.0,75960.0,lc2601,20251021,LC,1270.0
LC2601,102,2025-10-21 11:18:00,LC2601,75940.0,LC2601,GFEX,75940.0,75880.0,75880.0,lc2601,20251021,LC,351.0
LC2601,103,2025-10-21 11:17:00,LC2601,75880.0,LC2601,GFEX,75900.0,75860.0,75860.0,lc2601,20251021,LC,228.0
LC2601,104,2025-10-21 11:16:00,LC2601,75880.0,LC2601,GFEX,75920.0,75860.0,75880.0,lc2601,20251021,LC,294.0
LC2601,105,2025-10-21 11:15:00,LC2601,75880.0,LC2601,GFEX,75920.0,75880.0,75900.0,lc2601,20251021,LC,285.0
LC2601,106,2025-10-21 11:14:00,LC2601,75880.0,LC2601,GFEX,75920.0,75860.0,75900.0,lc2601,20251021,LC,266.0
LC2601,107,2025-10-21 11:13:00,LC2601,75900.0,LC2601,GFEX,75960.0,75880.0,75940.0,lc2601,20251021,LC,334.0
LC2601,108,2025-10-21 11:12:00,LC2601,75940.0,LC2601,GFEX,75940.0,75860.0,75880.0,lc2601,20251021,LC,393.0
LC2601,109,2025-10-21 11:11:00,LC2601,75880.0,LC2601,GFEX,75920.0,75840.0,75840.0,lc2601,20251021,LC,668.0
LC2601,110,2025-10-21 11:10:00,LC2601,75860.0,LC2601,GFEX,75860.0,75820.0,75840.0,lc2601,20251021,LC,646.0
LC2601,111,2025-10-21 11:09:00,LC2601,75840.0,LC2601,GFEX,75900.0,75820.0,75860.0,lc2601,20251021,LC,830.0
LC2601,112,2025-10-21 11:08:00,LC2601,75880.0,LC2601,GFEX,75940.0,75860.0,75920.0,lc2601,20251021,LC,745.0
LC2601,113,2025-10-21 11:07:00,LC2601,75940.0,LC2601,GFEX,76000.0,75940.0,75980.0,lc2601,20251021,LC,428.0
LC2601,114,2025-10-21 11:06:00,LC2601,76000.0,LC2601,GFEX,76040.0,75960.0,76040.0,lc2601,20251021,LC,806.0
LC2601,115,2025-10-21 11:05:00,LC2601,76020.0,LC2601,GFEX,76040.0,76000.0,76040.0,lc2601,20251021,LC,368.0
LC2601,116,2025-10-21 11:04:00,LC2601,76040.0,LC2601,GFEX,76080.0,76020.0,76060.0,lc2601,20251021,LC,995.0
LC2601,117,2025-10-21 11:03:00,LC2601,76060.0,LC2601,GFEX,76100.0,75980.0,75980.0,lc2601,20251021,LC,1957.0
LC2601,118,2025-10-21 11:02:00,LC2601,76000.0,LC2601,GFEX,76000.0,75940.0,75980.0,lc2601,20251021,LC,780.0
LC2601,119,2025-10-21 11:01:00,LC2601,75960.0,LC2601,GFEX,76000.0,75920.0,75920.0,lc2601,20251021,LC,1447.0
LC2601,120,2025-10-21 11:00:00,LC2601,75920.0,LC2601,GFEX,75940.0,75800.0,75800.0,lc2601,20251021,LC,1340.0
LC2601,121,2025-10-21 10:59:00,LC2601,75820.0,LC2601,GFEX,75820.0,75800.0,75800.0,lc2601,20251021,LC,180.0
LC2601,122,2025-10-21 10:58:00,LC2601,75820.0,LC2601,GFEX,75820.0,75760.0,75800.0,lc2601,20251021,LC,438.0
LC2601,123,2025-10-21 10:57:00,LC2601,75820.0,LC2601,GFEX,75820.0,75780.0,75800.0,lc2601,20251021,LC,482.0
LC2601,124,2025-10-21 10:56:00,LC2601,75800.0,LC2601,GFEX,75820.0,75760.0,75780.0,lc2601,20251021,LC,407.0
LC2601,125,2025-10-21 10:55:00,LC2601,75780.0,LC2601,GFEX,75820.0,75780.0,75800.0,lc2601,20251021,LC,242.0
LC2601,126,2025-10-21 10:54:00,LC2601,75800.0,LC2601,GFEX,75820.0,75720.0,75720.0,lc2601,20251021,LC,983.0
LC2601,127,2025-10-21 10:53:00,LC2601,75700.0,LC2601,GFEX,75740.0,75700.0,75720.0,lc2601,20251021,LC,231.0
LC2601,128,2025-10-21 10:52:00,LC2601,75720.0,LC2601,GFEX,75740.0,75700.0,75700.0,lc2601,20251021,LC,181.0
LC2601,129,2025-10-21 10:51:00,LC2601,75720.0,LC2601,GFEX,75780.0,75720.0,75740.0,lc2601,20251021,LC,207.0
LC2601,130,2025-10-21 10:50:00,LC2601,75740.0,LC2601,GFEX,75780.0,75740.0,75740.0,lc2601,20251021,LC,177.0
LC2601,131,2025-10-21 10:49:00,LC2601,75740.0,LC2601,GFEX,75760.0,75700.0,75740.0,lc2601,20251021,LC,387.0
LC2601,132,2025-10-21 10:48:00,LC2601,75740.0,LC2601,GFEX,75760.0,75720.0,75720.0,lc2601,20251021,LC,279.0
LC2601,133,2025-10-21 10:47:00,LC2601,75720.0,LC2601,GFEX,75760.0,75720.0,75760.0,lc2601,20251021,LC,311.0
LC2601,134,2025-10-21 10:46:00,LC2601,75760.0,LC2601,GFEX,75820.0,75760.0,75800.0,lc2601,20251021,LC,424.0
LC2601,135,2025-10-21 10:45:00,LC2601,75820.0,LC2601,GFEX,75860.0,75760.0,75800.0,lc2601,20251021,LC,571.0
LC2601,136,2025-10-21 10:44:00,LC2601,75780.0,LC2601,GFEX,75880.0,75720.0,75800.0,lc2601,20251021,LC,1646.0
LC2601,137,2025-10-21 10:43:00,LC2601,75820.0,LC2601,GFEX,75820.0,75720.0,75720.0,lc2601,20251021,LC,406.0
LC2601,138,2025-10-21 10:42:00,LC2601,75720.0,LC2601,GFEX,75740.0,75700.0,75740.0,lc2601,20251021,LC,199.0
