date,open,high,low,close,volume
2023-07-21 09:00:00,238900.0,238900.0,226000.0,228850.0,5215.0
2023-07-21 09:03:00,228850.0,230250.0,225500.0,227000.0,2569.0
2023-07-21 09:06:00,227000.0,228900.0,225400.0,228850.0,1951.0
2023-07-21 09:09:00,228950.0,229000.0,227500.0,228000.0,1204.0
2023-07-21 09:12:00,228000.0,228450.0,226250.0,226350.0,923.0
2023-07-21 09:15:00,226200.0,227650.0,219000.0,219750.0,3320.0
2023-07-21 09:18:00,219800.0,223750.0,219800.0,221150.0,2406.0
2023-07-21 09:21:00,221000.0,223000.0,220550.0,222300.0,1325.0
2023-07-21 09:24:00,222200.0,222950.0,219850.0,221000.0,1275.0
2023-07-21 09:27:00,220850.0,221300.0,216800.0,218350.0,2419.0
2023-07-21 09:30:00,218400.0,218850.0,215550.0,216700.0,1715.0
2023-07-21 09:33:00,216800.0,218500.0,216700.0,218050.0,1097.0
2023-07-21 09:36:00,218200.0,218200.0,216950.0,217400.0,705.0
2023-07-21 09:39:00,217500.0,218600.0,217500.0,218000.0,835.0
2023-07-21 09:42:00,218000.0,222950.0,217600.0,222350.0,1911.0
2023-07-21 09:45:00,221600.0,222650.0,219500.0,219700.0,1674.0
2023-07-21 09:48:00,219800.0,220500.0,218100.0,219900.0,945.0
2023-07-21 09:51:00,219700.0,220850.0,219600.0,220450.0,478.0
2023-07-21 09:54:00,220450.0,220800.0,219250.0,219350.0,512.0
2023-07-21 09:57:00,219450.0,220750.0,219000.0,220000.0,602.0
2023-07-21 10:00:00,219950.0,221450.0,219750.0,220250.0,683.0
2023-07-21 10:03:00,220350.0,221100.0,220200.0,220750.0,380.0
2023-07-21 10:06:00,220700.0,221050.0,220350.0,220500.0,271.0
2023-07-21 10:09:00,220500.0,221400.0,220200.0,221250.0,399.0
2023-07-21 10:12:00,221200.0,221250.0,220550.0,220800.0,261.0
2023-07-21 10:15:00,220800.0,221100.0,220500.0,220500.0,122.0
2023-07-21 10:30:00,220650.0,220850.0,217800.0,218300.0,1200.0
2023-07-21 10:33:00,218300.0,218950.0,217600.0,218000.0,906.0
2023-07-21 10:36:00,218100.0,218300.0,217500.0,218100.0,613.0
2023-07-21 10:39:00,218050.0,218850.0,217950.0,218500.0,500.0
2023-07-21 10:42:00,218550.0,218750.0,218100.0,218550.0,270.0
2023-07-21 10:45:00,218600.0,219200.0,218550.0,218650.0,368.0
2023-07-21 10:48:00,218650.0,218700.0,218200.0,218250.0,300.0
2023-07-21 10:51:00,218200.0,218650.0,218200.0,218600.0,125.0
2023-07-21 10:54:00,218600.0,219200.0,218600.0,218700.0,315.0
2023-07-21 10:57:00,218700.0,219100.0,218600.0,218850.0,244.0
2023-07-21 11:00:00,218750.0,219200.0,218700.0,218950.0,180.0
2023-07-21 11:03:00,218950.0,219950.0,218900.0,219650.0,454.0
2023-07-21 11:06:00,219700.0,219700.0,219150.0,219150.0,188.0
2023-07-21 11:09:00,219150.0,219250.0,218050.0,218750.0,326.0
2023-07-21 11:12:00,218750.0,218750.0,218500.0,218700.0,98.0
2023-07-21 11:15:00,218700.0,218800.0,217550.0,217950.0,387.0
2023-07-21 11:18:00,217950.0,217950.0,215000.0,216850.0,1371.0
2023-07-21 11:21:00,216800.0,217250.0,216450.0,216950.0,453.0
2023-07-21 11:24:00,217050.0,219300.0,216650.0,218850.0,1056.0
2023-07-21 11:27:00,218800.0,219900.0,217000.0,218350.0,781.0
2023-07-21 11:30:00,218350.0,218450.0,217700.0,218100.0,195.0
2023-07-21 13:30:00,217900.0,218000.0,215700.0,216300.0,987.0
2023-07-21 13:33:00,216350.0,217700.0,216200.0,217250.0,571.0
2023-07-21 13:36:00,217200.0,217300.0,216850.0,217100.0,242.0
2023-07-21 13:39:00,217100.0,217600.0,216700.0,216950.0,358.0
2023-07-21 13:42:00,216900.0,217150.0,216750.0,217000.0,143.0
2023-07-21 13:45:00,217050.0,217100.0,216500.0,216900.0,191.0
2023-07-21 13:48:00,216900.0,217500.0,216900.0,217100.0,319.0
2023-07-21 13:51:00,217150.0,217350.0,217150.0,217150.0,171.0
2023-07-21 13:54:00,217150.0,217650.0,217050.0,217200.0,237.0
2023-07-21 13:57:00,217250.0,217250.0,217150.0,217150.0,76.0
2023-07-21 14:00:00,217200.0,217200.0,216300.0,216400.0,546.0
2023-07-21 14:03:00,216400.0,216850.0,216300.0,216500.0,392.0
2023-07-21 14:06:00,216500.0,216500.0,214150.0,216000.0,1076.0
2023-07-21 14:09:00,215950.0,216450.0,215850.0,216300.0,418.0
2023-07-21 14:12:00,216350.0,216950.0,216300.0,216500.0,476.0
2023-07-21 14:15:00,216450.0,216500.0,215200.0,216000.0,531.0
2023-07-21 14:18:00,216000.0,216000.0,214800.0,215000.0,608.0
2023-07-21 14:21:00,215150.0,215900.0,214900.0,215600.0,642.0
2023-07-21 14:24:00,215550.0,216200.0,215550.0,215750.0,344.0
2023-07-21 14:27:00,215750.0,216350.0,215000.0,215800.0,530.0
2023-07-21 14:30:00,215900.0,216000.0,215550.0,215600.0,151.0
2023-07-21 14:33:00,215650.0,215900.0,215600.0,215700.0,202.0
2023-07-21 14:36:00,215800.0,215900.0,215350.0,215400.0,211.0
2023-07-21 14:39:00,215500.0,215800.0,215050.0,215650.0,326.0
2023-07-21 14:42:00,215600.0,215650.0,214800.0,215400.0,493.0
2023-07-21 14:45:00,215350.0,215800.0,215150.0,215300.0,534.0
2023-07-21 14:48:00,215300.0,215400.0,215000.0,215000.0,202.0
2023-07-21 14:51:00,215000.0,216000.0,215000.0,215800.0,520.0
2023-07-21 14:54:00,215850.0,216750.0,215550.0,216350.0,937.0
2023-07-21 14:57:00,216350.0,216550.0,215200.0,215200.0,764.0
2023-07-21 15:00:00,215350.0,215350.0,214250.0,215100.0,794.0
2023-07-24 09:00:00,219448.0380499405,219652.65160523183,213821.16527942923,215406.92033293692,3416.0
2023-07-24 09:03:00,215406.92033293692,215509.2271105826,214332.69916765756,215048.84661117717,2315.0
2023-07-24 09:06:00,214946.53983353148,217248.44233055884,214435.0059453032,215458.07372175975,2439.0
2023-07-24 09:09:00,215458.07372175975,215560.38049940544,214639.6195005945,215151.1533888228,1103.0
2023-07-24 09:12:00,214997.6932223543,215816.1474435196,214435.0059453032,215253.4601664685,1319.0
2023-07-24 09:15:00,215253.4601664685,215458.07372175975,214537.31272294885,215355.7669441141,884.0
2023-07-24 09:18:00,215304.6135552913,216583.4482758621,215151.1533888228,215560.38049940544,1007.0
2023-07-24 09:21:00,215611.53388822827,216378.83472057077,215355.7669441141,215355.7669441141,645.0
2023-07-24 09:24:00,215406.92033293692,215406.92033293692,214588.46611177168,214844.23305588585,1295.0
2023-07-24 09:27:00,214844.23305588585,215202.30677764563,214639.6195005945,215151.1533888228,822.0
2023-07-24 09:30:00,215202.30677764563,215509.2271105826,214741.92627824016,215406.92033293692,720.0
2023-07-24 09:33:00,215560.38049940544,216123.0677764566,215202.30677764563,215662.6872770511,722.0
2023-07-24 09:36:00,215662.6872770511,216890.36860879904,215662.6872770511,216532.29488703923,1091.0
2023-07-24 09:39:00,216481.1414982164,217043.82877526752,216276.52794292508,216941.5219976219,909.0
2023-07-24 09:42:00,216941.5219976219,216941.5219976219,215918.45422116524,216327.6813317479,576.0
2023-07-24 09:45:00,216276.52794292508,216327.6813317479,215611.53388822827,216020.76099881093,554.0
2023-07-24 09:48:00,216020.76099881093,216327.6813317479,215918.45422116524,216071.91438763376,184.0
2023-07-24 09:51:00,216071.91438763376,216225.37455410225,215918.45422116524,215969.6076099881,164.0
2023-07-24 09:54:00,215969.6076099881,215969.6076099881,215611.53388822827,215816.1474435196,353.0
2023-07-24 09:57:00,215816.1474435196,216941.5219976219,215713.84066587396,216481.1414982164,661.0
2023-07-24 10:00:00,216481.1414982164,216583.4482758621,216123.0677764566,216378.83472057077,168.0
2023-07-24 10:03:00,216327.6813317479,216378.83472057077,216020.76099881093,216378.83472057077,174.0
2023-07-24 10:06:00,216327.6813317479,216378.83472057077,216020.76099881093,216276.52794292508,136.0
2023-07-24 10:09:00,216378.83472057077,217146.1355529132,216276.52794292508,216736.90844233052,559.0
2023-07-24 10:12:00,216736.90844233052,216788.06183115335,216327.6813317479,216685.7550535077,212.0
2023-07-24 10:15:00,216634.6016646849,216890.36860879904,216583.4482758621,216839.2152199762,112.0
2023-07-24 10:30:00,216736.90844233052,217043.82877526752,216634.6016646849,216736.90844233052,307.0
2023-07-24 10:33:00,216788.06183115335,217913.43638525563,216736.90844233052,217913.43638525563,624.0
2023-07-24 10:36:00,217913.43638525563,217913.43638525563,216839.2152199762,217094.98216409035,696.0
2023-07-24 10:39:00,217043.82877526752,217094.98216409035,216532.29488703923,216532.29488703923,504.0
2023-07-24 10:42:00,216634.6016646849,216992.6753864447,216583.4482758621,216890.36860879904,231.0
2023-07-24 10:45:00,216992.6753864447,216992.6753864447,216736.90844233052,216992.6753864447,154.0
2023-07-24 10:48:00,216941.5219976219,217401.90249702733,216890.36860879904,217350.7491082045,342.0
2023-07-24 10:51:00,217350.7491082045,217401.90249702733,216941.5219976219,216992.6753864447,157.0
2023-07-24 10:54:00,216992.6753864447,217094.98216409035,216890.36860879904,216941.5219976219,103.0
2023-07-24 10:57:00,216992.6753864447,217299.59571938167,216788.06183115335,216788.06183115335,212.0
2023-07-24 11:00:00,216788.06183115335,216992.6753864447,216276.52794292508,216429.9881093936,431.0
2023-07-24 11:03:00,216429.9881093936,216532.29488703923,216327.6813317479,216378.83472057077,196.0
2023-07-24 11:06:00,216481.1414982164,216481.1414982164,216123.0677764566,216429.9881093936,285.0
2023-07-24 11:09:00,216429.9881093936,216736.90844233052,216327.6813317479,216634.6016646849,156.0
2023-07-24 11:12:00,216685.7550535077,216788.06183115335,216481.1414982164,216788.06183115335,149.0
2023-07-24 11:15:00,216788.06183115335,217094.98216409035,216788.06183115335,216890.36860879904,192.0
2023-07-24 11:18:00,216941.5219976219,216992.6753864447,216736.90844233052,216736.90844233052,102.0
2023-07-24 11:21:00,216685.7550535077,217146.1355529132,216634.6016646849,216992.6753864447,190.0
2023-07-24 11:24:00,216992.6753864447,217043.82877526752,216839.2152199762,216890.36860879904,64.0
2023-07-24 11:27:00,216992.6753864447,217043.82877526752,216890.36860879904,216941.5219976219,91.0
2023-07-24 11:30:00,216992.6753864447,217146.1355529132,216992.6753864447,217094.98216409035,64.0
2023-07-24 13:30:00,217043.82877526752,217555.36266349585,216736.90844233052,217299.59571938167,427.0
2023-07-24 13:33:00,217350.7491082045,217350.7491082045,216941.5219976219,217094.98216409035,159.0
2023-07-24 13:36:00,217094.98216409035,217197.288941736,216992.6753864447,217043.82877526752,88.0
2023-07-24 13:39:00,217043.82877526752,217043.82877526752,216123.0677764566,216429.9881093936,549.0
2023-07-24 13:42:00,216378.83472057077,216429.9881093936,215611.53388822827,216020.76099881093,768.0
2023-07-24 13:45:00,216020.76099881093,216378.83472057077,215969.6076099881,216276.52794292508,199.0
2023-07-24 13:48:00,216327.6813317479,216378.83472057077,215918.45422116524,216020.76099881093,257.0
2023-07-24 13:51:00,215969.6076099881,216071.91438763376,215764.9940546968,215867.3008323424,372.0
2023-07-24 13:54:00,215918.45422116524,216020.76099881093,215816.1474435196,216020.76099881093,216.0
2023-07-24 13:57:00,216020.76099881093,216020.76099881093,215611.53388822827,215764.9940546968,328.0
