ts_code,trade_date,mapping_ts_code
LC.GFE,20250306,LC2505.GFE
LC.GFE,20250305,LC2505.GFE
LC.GFE,20250304,LC2505.GFE
LC.GFE,20250303,LC2505.GFE
LC.GFE,20250228,LC2505.GFE
LC.GFE,20250227,LC2505.GFE
LC.GFE,20250226,LC2505.GFE
LC.GFE,20250225,LC2505.GFE
LC.GFE,20250224,LC2505.GFE
LC.GFE,20250221,LC2505.GFE
LC.GFE,20250220,LC2505.GFE
LC.GFE,20250219,LC2505.GFE
LC.GFE,20250218,LC2505.GFE
LC.GFE,20250217,LC2505.GFE
LC.GFE,20250214,LC2505.GFE
LC.GFE,20250213,LC2505.GFE
LC.GFE,20250212,LC2505.GFE
LC.GFE,20250211,LC2505.GFE
LC.GFE,20250210,LC2505.GFE
LC.GFE,20250207,LC2505.GFE
LC.GFE,20250206,LC2505.GFE
LC.GFE,20250205,LC2505.GFE
LC.GFE,20250127,LC2505.GFE
LC.GFE,20250124,LC2505.GFE
LC.GFE,20250123,LC2505.GFE
LC.GFE,20250122,LC2505.GFE
LC.GFE,20250121,LC2505.GFE
LC.GFE,20250120,LC2505.GFE
LC.GFE,20250117,LC2505.GFE
LC.GFE,20250116,LC2505.GFE
LC.GFE,20250115,LC2505.GFE
LC.GFE,20250114,LC2505.GFE
LC.GFE,20250113,LC2505.GFE
LC.GFE,20250110,LC2505.GFE
LC.GFE,20250109,LC2505.GFE
LC.GFE,20250108,LC2505.GFE
LC.GFE,20250107,LC2505.GFE
LC.GFE,20250106,LC2505.GFE
LC.GFE,20250103,LC2505.GFE
LC.GFE,20250102,LC2505.GFE
LC.GFE,20241231,LC2505.GFE
LC.GFE,20241230,LC2505.GFE
LC.GFE,20241227,LC2505.GFE
LC.GFE,20241226,LC2505.GFE
LC.GFE,20241225,LC2505.GFE
LC.GFE,20241224,LC2505.GFE
LC.GFE,20241223,LC2505.GFE
LC.GFE,20241220,LC2505.GFE
LC.GFE,20241219,LC2501.GFE
LC.GFE,20241218,LC2501.GFE
LC.GFE,20241217,LC2501.GFE
LC.GFE,20241216,LC2501.GFE
LC.GFE,20241213,LC2501.GFE
LC.GFE,20241212,LC2501.GFE
LC.GFE,20241211,LC2501.GFE
LC.GFE,20241210,LC2501.GFE
LC.GFE,20241209,LC2501.GFE
LC.GFE,20241206,LC2501.GFE
LC.GFE,20241205,LC2501.GFE
LC.GFE,20241204,LC2501.GFE
LC.GFE,20241203,LC2501.GFE
LC.GFE,20241202,LC2501.GFE
LC.GFE,20241129,LC2501.GFE
LC.GFE,20241128,LC2501.GFE
LC.GFE,20241127,LC2501.GFE
LC.GFE,20241126,LC2501.GFE
LC.GFE,20241125,LC2501.GFE
LC.GFE,20241122,LC2501.GFE
LC.GFE,20241121,LC2501.GFE
LC.GFE,20241120,LC2501.GFE
LC.GFE,20241119,LC2501.GFE
LC.GFE,20241118,LC2501.GFE
LC.GFE,20241115,LC2501.GFE
LC.GFE,20241114,LC2501.GFE
LC.GFE,20241113,LC2501.GFE
LC.GFE,20241112,LC2501.GFE
LC.GFE,20241111,LC2501.GFE
LC.GFE,20241108,LC2501.GFE
LC.GFE,20241107,LC2501.GFE
LC.GFE,20241106,LC2501.GFE
LC.GFE,20241105,LC2501.GFE
LC.GFE,20241104,LC2501.GFE
LC.GFE,20241101,LC2501.GFE
LC.GFE,20241031,LC2501.GFE
LC.GFE,20241030,LC2501.GFE
LC.GFE,20241029,LC2501.GFE
LC.GFE,20241028,LC2501.GFE
LC.GFE,20241025,LC2501.GFE
LC.GFE,20241024,LC2501.GFE
LC.GFE,20241023,LC2501.GFE
LC.GFE,20241022,LC2501.GFE
LC.GFE,20241021,LC2501.GFE
LC.GFE,20241018,LC2411.GFE
LC.GFE,20241017,LC2411.GFE
LC.GFE,20241016,LC2411.GFE
LC.GFE,20241015,LC2411.GFE
LC.GFE,20241014,LC2411.GFE
LC.GFE,20241011,LC2411.GFE
LC.GFE,20241010,LC2411.GFE
LC.GFE,20241009,LC2411.GFE
LC.GFE,20241008,LC2411.GFE
LC.GFE,20240930,LC2411.GFE
LC.GFE,20240927,LC2411.GFE
LC.GFE,20240926,LC2411.GFE
LC.GFE,20240925,LC2411.GFE
LC.GFE,20240924,LC2411.GFE
LC.GFE,20240923,LC2411.GFE
LC.GFE,20240920,LC2411.GFE
LC.GFE,20240919,LC2411.GFE
LC.GFE,20240918,LC2411.GFE
LC.GFE,20240913,LC2411.GFE
LC.GFE,20240912,LC2411.GFE
LC.GFE,20240911,LC2411.GFE
LC.GFE,20240910,LC2411.GFE
LC.GFE,20240909,LC2411.GFE
LC.GFE,20240906,LC2411.GFE
LC.GFE,20240905,LC2411.GFE
LC.GFE,20240904,LC2411.GFE
LC.GFE,20240903,LC2411.GFE
LC.GFE,20240902,LC2411.GFE
LC.GFE,20240830,LC2411.GFE
LC.GFE,20240829,LC2411.GFE
LC.GFE,20240828,LC2411.GFE
LC.GFE,20240827,LC2411.GFE
LC.GFE,20240826,LC2411.GFE
LC.GFE,20240823,LC2411.GFE
LC.GFE,20240822,LC2411.GFE
LC.GFE,20240821,LC2411.GFE
LC.GFE,20240820,LC2411.GFE
LC.GFE,20240819,LC2411.GFE
LC.GFE,20240816,LC2411.GFE
LC.GFE,20240815,LC2411.GFE
LC.GFE,20240814,LC2411.GFE
LC.GFE,20240813,LC2411.GFE
LC.GFE,20240812,LC2411.GFE
LC.GFE,20240809,LC2411.GFE
LC.GFE,20240808,LC2411.GFE
LC.GFE,20240807,LC2411.GFE
LC.GFE,20240806,LC2411.GFE
LC.GFE,20240805,LC2411.GFE
LC.GFE,20240802,LC2411.GFE
LC.GFE,20240801,LC2411.GFE
LC.GFE,20240731,LC2411.GFE
LC.GFE,20240730,LC2411.GFE
LC.GFE,20240729,LC2411.GFE
LC.GFE,20240726,LC2411.GFE
LC.GFE,20240725,LC2411.GFE
LC.GFE,20240724,LC2411.GFE
LC.GFE,20240723,LC2411.GFE
LC.GFE,20240722,LC2411.GFE
LC.GFE,20240719,LC2411.GFE
LC.GFE,20240718,LC2411.GFE
LC.GFE,20240717,LC2411.GFE
LC.GFE,20240716,LC2411.GFE
LC.GFE,20240715,LC2411.GFE
LC.GFE,20240712,LC2411.GFE
LC.GFE,20240711,LC2411.GFE
LC.GFE,20240710,LC2411.GFE
LC.GFE,20240709,LC2411.GFE
LC.GFE,20240708,LC2411.GFE
LC.GFE,20240705,LC2411.GFE
LC.GFE,20240704,LC2411.GFE
LC.GFE,20240703,LC2411.GFE
LC.GFE,20240702,LC2411.GFE
LC.GFE,20240701,LC2411.GFE
LC.GFE,20240628,LC2411.GFE
LC.GFE,20240627,LC2411.GFE
LC.GFE,20240626,LC2407.GFE
LC.GFE,20240625,LC2407.GFE
LC.GFE,20240624,LC2407.GFE
LC.GFE,20240621,LC2407.GFE
LC.GFE,20240620,LC2407.GFE
LC.GFE,20240619,LC2407.GFE
LC.GFE,20240618,LC2407.GFE
LC.GFE,20240617,LC2407.GFE
LC.GFE,20240614,LC2407.GFE
LC.GFE,20240613,LC2407.GFE
LC.GFE,20240612,LC2407.GFE
LC.GFE,20240611,LC2407.GFE
LC.GFE,20240607,LC2407.GFE
LC.GFE,20240606,LC2407.GFE
LC.GFE,20240605,LC2407.GFE
LC.GFE,20240604,LC2407.GFE
